"id","name","price","status","url"
1,"考无忧2017全国专业技术人员职称计算机应用能力考试模块题库软件","19.00","8467笔","//detail.tmall.com/item.htm?id=16524184612&skuId=4611686034951572516&user_id=854176033&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
2,"2017年证券银行基金期货从业资格证考试题库软件视频课程真题押题","18.00","1.3万笔","//detail.tmall.com/item.htm?id=535389650658&skuId=3194151322148&user_id=2895336974&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
3,"直考通2017年证券银行基金期货从业资格考试题库软件真题押题视频","18.00","4681笔","//detail.tmall.com/item.htm?id=538644813751&skuId=3294800424840&user_id=2636319877&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
4,"中星睿典全国职称计算机考试模块2017年题库软件初级中高级注册码","19.00","2310笔","//detail.tmall.com/item.htm?id=18459404335&skuId=4611686036886792239&user_id=466185732&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
5,"2017年全国专业技术人员职称计算机应用能力考试题库模块软件中级","15.00","2049笔","//detail.tmall.com/item.htm?id=536252293056&skuId=4611686554679680960&user_id=2945704581&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
6,"中华会计网校2017年初级会计职称考试视频课件学习卡网课押题题库","288.00","625笔","//detail.tmall.com/item.htm?id=541976338475&skuId=3257256484958&user_id=3031847752&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
7,"未来教育2017计算机二级MS Office上机考试操作软件真题电子题库","20.00","2203笔","//detail.tmall.com/item.htm?id=520098421630&skuId=3288493220518&user_id=2535824255&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
8,"2017年证券银行基金期货从业资格考试真题库软件视频教程课程押题","18.00","2347笔","//detail.tmall.com/item.htm?id=532952700601&skuId=3179056086445&user_id=2900948213&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
9,"中华会计网校2017年注册会计师cpa注会考试视频课件网课教程题库","378.00","1651笔","//detail.tmall.com/item.htm?id=541977795770&skuId=3255788625255&user_id=3031847752&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
10,"2017年证券银行基金期货从业资格考试题库包含软件过关押题","15.00","841笔","//detail.tmall.com/item.htm?id=536424460083&skuId=3201787788090&user_id=2944523978&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
11,"正副高级职称考试 副主任题库2017年医学高级职称考试宝典任选1科","198.00","2008笔","//detail.tmall.com/item.htm?id=524766102466&skuId=3127257075389&user_id=2486565177&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
